'Letter', 'Count', 'Percentage'
'n', 254, 4.365011170304176
'o', 591, 10.156384258463653
'p', 70, 1.2029558343357964
'q', 2, 0.03437016669530847
'r', 194, 3.3339061694449215
's', 243, 4.175975253479979
't', 454, 7.802027839835023
'u', 34, 0.584292833820244
'v', 3, 0.05155525004296271
'w', 9, 0.1546657501288881
'x', 9, 0.1546657501288881
'y', 26, 0.4468121670390101
'z', 14, 0.2405911668671593
'Letter', 'Count', 'Percentage'
'a', 792, 13.610586011342155
'b', 3, 0.05155525004296271
'c', 104, 1.7872486681560404
'd', 33, 0.5671077504725899
'e', 262, 4.50249183708541
'f', 1, 0.017185083347654236
'g', 38, 0.6530331672108609
'h', 54, 0.9279945007733288
'i', 823, 14.143323595119437
'k', 13, 0.22340608351950506
'l', 727, 12.49355559374463
'm', 47, 0.8076989173397491
'n', 286, 4.914933837429111
'o', 556, 9.554906341295755
'p', 45, 0.7733287506444406
'r', 168, 2.8870940024059117
's', 777, 13.352809761127341
't', 436, 7.492696339577247
'u', 494, 8.489431173741192
'v', 90, 1.5466575012888812
'y', 8, 0.13748066678123388
'z', 62, 1.0654751675545626
'Letter', 'Count', 'Percentage'
'a', 174, 2.9902045024918373
'c', 428, 7.355215672796013
'd', 147, 2.5262072521051726
'e', 916, 15.74153634645128
'f', 2, 0.03437016669530847
'g', 74, 1.2716961677264134
'h', 32, 0.5499226671249355
'i', 13, 0.22340608351950506
'k', 3, 0.05155525004296271
'l', 454, 7.802027839835023
'm', 256, 4.399381336999484
'n', 670, 11.514005842928338
'o', 7, 0.12029558343357966
'p', 38, 0.6530331672108609
'r', 210, 3.6088675030073896
's', 1082, 18.594260182161886
't', 303, 5.207080254339234
'x', 8, 0.13748066678123388
'y', 1002, 17.219453514349546
